,id,date,text,place,screen_name
0,1661196530127351808,2023-05-24 02:24:50,"RT @eddy_widodo_165: Alhamdulilah 🤲
Bacapres @PDI_Perjuangan
Menurut Litbang Kompas dlm rilis hasil survei terbaru elektabilitas bakal capr…",INDONESIA,jijindut
1,1661196491896266752,2023-05-24 02:24:41,"RT @renandabachtar: Din Syamsuddin Lebih Senang AHY Jadi Cawapres Anies Baswedan Ketimbang Khofifah
https://t.co/jTPPc4pswJ",,georgiussoetjip
2,1661196455691046912,2023-05-24 02:24:33,"RT @PutraErlangga95: Ingin menyelamatkan Indonesia 🇲🇨 silahkan pilih Anies Baswedan 2024

Yang Setuju 🔄❤️✍️ https://t.co/dZxpzS2pz4",,003whitesky1
3,1661196446203523073,2023-05-24 02:24:30,"RT @idtodayco: Kurang Bukti, Relawan Ganjar Pranowo Gagal Polisikan Anies Baswedan soal Pembangunan Jalan Era Jokowi
https://t.co/4fzC1nwdoD",,et_fath
4,1661196388963856390,2023-05-24 02:24:17,RT @Yurissa_Samosir: Sambutan hangat dari Masyarakat Ponorogo Jawa Timur atas Kedatangan Pak Anies Baswedan di Ponorogo https://t.co/6hRZ2s…,,et_fath
5,1661196262090375168,2023-05-24 02:23:47,"RT @akunke10_212: Memang manis si buah duren
Mangga lah muda dari klaten
Memang anies orangnya keren 
Pantaslah sudah jadi presiden😎

Assee…",Unlock,AhmadWi1
7,1661196224173842433,2023-05-24 02:23:38,"RT @MichelAdam7__: Ribuan habaib, ulama, dan tokoh Madura berikan restu serta lantunkan doa untuk Anies Rasyid Baswedan. Indah. 
Sabtu, 18…","Bali, Indonesia",GidgeeSportside
8,1661196139797057537,2023-05-24 02:23:17,"RT @infoanies: Anies Baswedan mengajak siapapun, dari yang terdekat, untuk menjadi barisan yang memilih untuk melakukan perubahan dan perba…",,Muhamma34985027
9,1661196056003252224,2023-05-24 02:22:57,RT @Yurissa_Samosir: Kader Partai PAN di Riau Tetap Dukung Anies Baswedan silahkan @ZUL_Hasan bawa Gerbong Kosong karena Kami Orang Riau Te…,"jakarta,indonesia",joelpote
10,1661195985501175810,2023-05-24 02:22:41,"RT @tempodotco: Kurang Bukti, Relawan Ganjar Pranowo Gagal Polisikan Anies Baswedan soal Pembangunan Jalan Era Jokowi #TempoNasional https:…",SBY barat benowo 04 / 02 / 13,JoePhiyo
