,id,date,place,screen_name,text,cleansing,case fold,stopwords,stemming,detokens,label
0,1661196530127351808,2023-05-24 02:24:50,INDONESIA,jijindut,"RT @eddy_widodo_165: Alhamdulilah ð¤²
Bacapres @PDI_Perjuangan
Menurut Litbang Kompas dlm rilis hasil survei terbaru elektabilitas bakal caprâ¦",Alhamdulilah Bacapres Menurut Litbang Kompas rilis hasil survei terbaru elektabilitas bakal capr,alhamdulilah bacapres menurut litbang kompas rilis hasil survei terbaru elektabilitas bakal capr,"['alhamdulilah', 'bacapres', 'litbang', 'kompas', 'rilis', 'hasil', 'survei', 'terbaru', 'elektabilitas', 'capr']","['alhamdulilah', 'bacapres', 'litbang', 'kompas', 'rilis', 'hasil', 'survei', 'baru', 'elektabilitas', 'capr']",alhamdulilah bacapres litbang kompas rilis hasil survei baru elektabilitas capr,negatif
1,1661196491896266752,2023-05-24 02:24:41,,georgiussoetjip,"RT @renandabachtar: Din Syamsuddin Lebih Senang AHY Jadi Cawapres Anies Baswedan Ketimbang Khofifah
https://t.co/jTPPc4pswJ", Syamsuddin Lebih Senang Jadi Cawapres Anies Baswedan Ketimbang Khofifah, syamsuddin lebih senang jadi cawapres anies baswedan ketimbang khofifah,"['syamsuddin', 'senang', 'cawapres', 'ketimbang', 'khofifah']","['syamsuddin', 'senang', 'cawapres', 'ketimbang', 'khofifah']",syamsuddin senang cawapres ketimbang khofifah,positif
2,1661196455691046912,2023-05-24 02:24:33,,003whitesky1,"RT @PutraErlangga95: Ingin menyelamatkan Indonesia ð²ð¨ silahkan pilih Anies Baswedan 2024

Yang Setuju ðâ¤ï¸âï¸ https://t.co/dZxpzS2pz4",Ingin menyelamatkan Indonesia silahkan pilih Anies Baswedan Yang Setuju,ingin menyelamatkan indonesia silahkan pilih anies baswedan yang setuju,"['menyelamatkan', 'indonesia', 'silahkan', 'pilih', 'setuju']","['selamat', 'indonesia', 'silah', 'pilih', 'tuju']",selamat indonesia silah pilih tuju,positif
3,1661196446203523073,2023-05-24 02:24:30,,et_fath,"RT @idtodayco: Kurang Bukti, Relawan Ganjar Pranowo Gagal Polisikan Anies Baswedan soal Pembangunan Jalan Era Jokowi
https://t.co/4fzC1nwdoD",Kurang Bukti Relawan Ganjar Pranowo Gagal Polisikan Anies Baswedan soal Pembangunan Jalan Jokowi,kurang bukti relawan ganjar pranowo gagal polisikan anies baswedan soal pembangunan jalan jokowi,"['bukti', 'relawan', 'gagal', 'polisikan', 'pembangunan', 'jalan', 'jokowi']","['bukti', 'rawan', 'gagal', 'polisi', 'bangun', 'jalan', 'jokowi']",bukti rawan gagal polisi bangun jalan jokowi,negatif
4,1661196388963856390,2023-05-24 02:24:17,,et_fath,RT @Yurissa_Samosir: Sambutan hangat dari Masyarakat Ponorogo Jawa Timur atas Kedatangan Pak Anies Baswedan di Ponorogo https://t.co/6hRZ2sâ¦,Sambutan hangat dari Masyarakat Ponorogo Jawa Timur atas Kedatangan Anies Baswedan Ponorogo,sambutan hangat dari masyarakat ponorogo jawa timur atas kedatangan anies baswedan ponorogo,"['sambutan', 'hangat', 'masyarakat', 'ponorogo', 'jawa', 'timur', 'kedatangan', 'ponorogo']","['sambut', 'hangat', 'masyarakat', 'ponorogo', 'jawa', 'timur', 'datang', 'ponorogo']",sambut hangat masyarakat ponorogo jawa timur datang ponorogo,positif
5,1661196262090375168,2023-05-24 02:23:47,Unlock,AhmadWi1,"RT @akunke10_212: Memang manis si buah duren
Mangga lah muda dari klaten
Memang anies orangnya keren 
Pantaslah sudah jadi presidenð

Asseeâ¦",Memang manis buah duren Mangga muda dari klaten Memang anies orangnya keren Pantaslah sudah jadi presiden Assee,memang manis buah duren mangga muda dari klaten memang anies orangnya keren pantaslah sudah jadi presiden assee,"['manis', 'buah', 'duren', 'mangga', 'muda', 'klaten', 'orangnya', 'keren', 'pantaslah', 'presiden', 'assee']","['manis', 'buah', 'duren', 'mangga', 'muda', 'klaten', 'orang', 'keren', 'pantas', 'presiden', 'assee']",manis buah duren mangga muda klaten orang keren pantas presiden assee,positif
6,1661196224173842433,2023-05-24 02:23:38,"Bali, Indonesia",GidgeeSportside,"RT @MichelAdam7__: Ribuan habaib, ulama, dan tokoh Madura berikan restu serta lantunkan doa untuk Anies Rasyid Baswedan. Indah. 
Sabtu, 18â¦",Ribuan habaib ulama tokoh Madura berikan restu serta lantunkan untuk Anies Rasyid Baswedan Indah Sabtu,ribuan habaib ulama tokoh madura berikan restu serta lantunkan untuk anies rasyid baswedan indah sabtu,"['ribuan', 'habaib', 'ulama', 'tokoh', 'madura', 'restu', 'lantunkan', 'rasyid', 'indah', 'sabtu']","['ribu', 'habaib', 'ulama', 'tokoh', 'madura', 'restu', 'lantun', 'rasyid', 'indah', 'sabtu']",ribu habaib ulama tokoh madura restu lantun rasyid indah sabtu,positif
7,1661196139797057537,2023-05-24 02:23:17,,Muhamma34985027,"RT @infoanies: Anies Baswedan mengajak siapapun, dari yang terdekat, untuk menjadi barisan yang memilih untuk melakukan perubahan dan perbaâ¦",Anies Baswedan mengajak siapapun dari yang terdekat untuk menjadi barisan yang memilih untuk melakukan perubahan perba,anies baswedan mengajak siapapun dari yang terdekat untuk menjadi barisan yang memilih untuk melakukan perubahan perba,"['mengajak', 'terdekat', 'barisan', 'memilih', 'perubahan', 'perba']","['ajak', 'dekat', 'baris', 'pilih', 'ubah', 'perba']",ajak dekat baris pilih ubah perba,positif
8,1661196056003252224,2023-05-24 02:22:57,"jakarta,indonesia",joelpote,RT @Yurissa_Samosir: Kader Partai PAN di Riau Tetap Dukung Anies Baswedan silahkan @ZUL_Hasan bawa Gerbong Kosong karena Kami Orang Riau Teâ¦,Kader Partai Riau Tetap Dukung Anies Baswedan silahkan bawa Gerbong Kosong karena Kami Orang Riau ,kader partai riau tetap dukung anies baswedan silahkan bawa gerbong kosong karena kami orang riau ,"['kader', 'partai', 'riau', 'dukung', 'silahkan', 'bawa', 'gerbong', 'kosong', 'orang', 'riau']","['kader', 'partai', 'riau', 'dukung', 'silah', 'bawa', 'gerbong', 'kosong', 'orang', 'riau']",kader partai riau dukung silah bawa gerbong kosong orang riau,positif
9,1661195985501175810,2023-05-24 02:22:41,SBY barat benowo 04 / 02 / 13,JoePhiyo,"RT @tempodotco: Kurang Bukti, Relawan Ganjar Pranowo Gagal Polisikan Anies Baswedan soal Pembangunan Jalan Era Jokowi #TempoNasional https:â¦",Kurang Bukti Relawan Ganjar Pranowo Gagal Polisikan Anies Baswedan soal Pembangunan Jalan Jokowi TempoNasional,kurang bukti relawan ganjar pranowo gagal polisikan anies baswedan soal pembangunan jalan jokowi temponasional,"['bukti', 'relawan', 'gagal', 'polisikan', 'pembangunan', 'jalan', 'jokowi', 'temponasional']","['bukti', 'rawan', 'gagal', 'polisi', 'bangun', 'jalan', 'jokowi', 'temponasional']",bukti rawan gagal polisi bangun jalan jokowi temponasional,negatif
10,1661195967822204928,2023-05-24 02:22:36,"Jakarta, Indonesia",DiniHrdianti,"RT @syddokiddo: Terimakasih buat bapak Anies Baswedan mantan gubernur Jakarta,kami warga Jakarta yg rumahnya cuma sepetak dan ngontrak di gâ¦",Terimakasih buat bapak Anies Baswedan mantan gubernur Jakarta kami warga Jakarta rumahnya cuma sepetak ngontrak ,terimakasih buat bapak anies baswedan mantan gubernur jakarta kami warga jakarta rumahnya cuma sepetak ngontrak ,"['terimakasih', 'mantan', 'gubernur', 'jakarta', 'warga', 'jakarta', 'rumahnya', 'sepetak', 'ngontrak']","['terimakasih', 'mantan', 'gubernur', 'jakarta', 'warga', 'jakarta', 'rumah', 'petak', 'ngontrak']",terimakasih mantan gubernur jakarta warga jakarta rumah petak ngontrak,negatif
11,1661195960779948033,2023-05-24 02:22:35,,PribadiSetiawa4,"RT @KrisyantoOni: Sadar Kaka, kandidat Capres 2024 bukan Jokowi, tapi Pak Ono yg punya rekam jejak masalah HAM Wadas! Dan punya prestasi Daâ¦",Sadar Kaka kandidat Capres bukan Jokowi tapi punya rekam jejak masalah Wadas punya prestasi ,sadar kaka kandidat capres bukan jokowi tapi punya rekam jejak masalah wadas punya prestasi ,"['sadar', 'kaka', 'kandidat', 'capres', 'jokowi', 'rekam', 'jejak', 'wadas', 'prestasi']","['sadar', 'kaka', 'kandidat', 'capres', 'jokowi', 'rekam', 'jejak', 'wadas', 'prestasi']",sadar kaka kandidat capres jokowi rekam jejak wadas prestasi,negatif
12,1661195925774274560,2023-05-24 02:22:26,,BiBoDah1,"RT @Paltiwest: Prabowo Subianto: 24,5%
Ganjar Pranowo: 22,8%
Anies Baswedan: 13,6%

Survei periodik Litbang Kompas melalui wawancara tatapâ¦",Prabowo Subianto Ganjar Pranowo Anies Baswedan Survei periodik Litbang Kompas melalui wawancara tatap,prabowo subianto ganjar pranowo anies baswedan survei periodik litbang kompas melalui wawancara tatap,"['survei', 'periodik', 'litbang', 'kompas', 'wawancara', 'tatap']","['survei', 'periodik', 'litbang', 'kompas', 'wawancara', 'tatap']",survei periodik litbang kompas wawancara tatap,negatif
13,1661195892391833600,2023-05-24 02:22:18,,MuhammadSy2641,"RT @HelmiFelis_: Kecerdasan melembutkan hati, kebodohan mengeraskan dan membuatnya congkak

Lihatlah video ini Anies Baswedan pilihan terbaâ¦",Kecerdasan melembutkan hati kebodohan mengeraskan membuatnya congkak Lihatlah video Anies Baswedan pilihan terba,kecerdasan melembutkan hati kebodohan mengeraskan membuatnya congkak lihatlah video anies baswedan pilihan terba,"['kecerdasan', 'melembutkan', 'hati', 'kebodohan', 'mengeraskan', 'membuatnya', 'congkak', 'lihatlah', 'video', 'pilihan', 'terba']","['cerdas', 'lembut', 'hati', 'bodoh', 'keras', 'buat', 'congkak', 'lihat', 'video', 'pilih', 'terba']",cerdas lembut hati bodoh keras buat congkak lihat video pilih terba,negatif
14,1661195884942757888,2023-05-24 02:22:17,,tengkudolly12,RT @Yurissa_Samosir: Tadi malam Warga Ponorogo Begitu Senang dan gembira dengan Kehadiran pak Anies Baswedan Bahkan Warga Ponorogo Mendoakaâ¦,Tadi malam Warga Ponorogo Begitu Senang gembira dengan Kehadiran Anies Baswedan Bahkan Warga Ponorogo Mendoaka,tadi malam warga ponorogo begitu senang gembira dengan kehadiran anies baswedan bahkan warga ponorogo mendoaka,"['malam', 'warga', 'ponorogo', 'senang', 'gembira', 'kehadiran', 'warga', 'ponorogo', 'mendoaka']","['malam', 'warga', 'ponorogo', 'senang', 'gembira', 'hadir', 'warga', 'ponorogo', 'mendoaka']",malam warga ponorogo senang gembira hadir warga ponorogo mendoaka,positif
15,1661195780290658304,2023-05-24 02:21:52,Somewhere green,AlberaD5,"RT @KakekHalal: Anies Tidak Fair
Oleh : Tuan Guru Bajang

Saya menyimak pidato bakal calon presiden Bapak Anies Rasyid Baswedan semalam. Piâ¦",Anies Tidak Fair Oleh Tuan Guru Bajang Saya menyimak pidato bakal calon presiden Bapak Anies Rasyid Baswedan semalam ,anies tidak fair oleh tuan guru bajang saya menyimak pidato bakal calon presiden bapak anies rasyid baswedan semalam ,"['fair', 'tuan', 'guru', 'bajang', 'menyimak', 'pidato', 'calon', 'presiden', 'rasyid', 'semalam']","['fair', 'tuan', 'guru', 'bajang', 'simak', 'pidato', 'calon', 'presiden', 'rasyid', 'malam']",fair tuan guru bajang simak pidato calon presiden rasyid malam,negatif
