,id,date,place,screen_name,text,cleansing,case fold,stopwords,stemming,detokens
0,1661196377966387201,2023-05-24 02:24:14,,florieliciouss,"RT @BANGSAygSUJUD: ""Kali ini sudah saatnya @prabowo menggantikan dan melanjutkan Presiden Jokowi"" Tutur Jend. Purn. Wiranto yg telah mendam…",Kali sudah saatnya menggantikan melanjutkan Presiden Jokowi Tutur Jend Purn Wiranto telah mendam,kali sudah saatnya menggantikan melanjutkan presiden jokowi tutur jend purn wiranto telah mendam,"['kali', 'menggantikan', 'melanjutkan', 'presiden', 'jokowi', 'jend', 'purn', 'wiranto', 'mendam']","['kali', 'ganti', 'lanjut', 'presiden', 'jokowi', 'jend', 'purn', 'wiranto', 'dam']",kali ganti lanjut presiden jokowi jend purn wiranto dam
1,1661195956300435458,2023-05-24 02:22:34,INDONESIA,liputan6dotcom,"4 Respons Kornas, PDIP, hingga Gerindra Usai Pertemuan Gibran Rakabuming Raka dengan Prabowo Subianto https://t.co/EqXF6CYX7w",Respons Kornas PDIP hingga Gerindra Usai Pertemuan Gibran Rakabuming Raka dengan Prabowo Subianto,respons kornas pdip hingga gerindra usai pertemuan gibran rakabuming raka dengan prabowo subianto,"['respons', 'kornas', 'pdip', 'gerindra', 'pertemuan', 'gibran', 'rakabuming', 'raka']","['respons', 'kornas', 'pdip', 'gerindra', 'temu', 'gibran', 'rakabuming', 'raka']",respons kornas pdip gerindra temu gibran rakabuming raka
2,1661195925774274560,2023-05-24 02:22:26,,BiBoDah1,"RT @Paltiwest: Prabowo Subianto: 24,5%
Ganjar Pranowo: 22,8%
Anies Baswedan: 13,6%

Survei periodik Litbang Kompas melalui wawancara tatap…",Prabowo Subianto Ganjar Pranowo Anies Baswedan Survei periodik Litbang Kompas melalui wawancara tatap,prabowo subianto ganjar pranowo anies baswedan survei periodik litbang kompas melalui wawancara tatap,"['survei', 'periodik', 'litbang', 'kompas', 'wawancara', 'tatap']","['survei', 'periodik', 'litbang', 'kompas', 'wawancara', 'tatap']",survei periodik litbang kompas wawancara tatap
3,1661195905796812800,2023-05-24 02:22:22,West java,7uventusia,"RT @mingtongue_: Partai besutan Prabowo Subianto ini unggul dari Golkar yang berada di peringkat kedua dengan angka keterpilihan 13,8 perse…",Partai besutan Prabowo Subianto unggul dari Golkar yang berada peringkat kedua dengan angka keterpilihan perse,partai besutan prabowo subianto unggul dari golkar yang berada peringkat kedua dengan angka keterpilihan perse,"['partai', 'besutan', 'unggul', 'golkar', 'peringkat', 'angka', 'keterpilihan', 'perse']","['partai', 'besut', 'unggul', 'golkar', 'peringkat', 'angka', 'pilih', 'perse']",partai besut unggul golkar peringkat angka pilih perse
4,1661195584211128320,2023-05-24 02:21:05,Alam Bawah Sadar,RSeptianEGeo,"4 Respons Kornas, PDIP, hingga Gerindra Usai Pertemuan Gibran Rakabuming Raka dengan Prabowo PresidenSubianto -… https://t.co/f2BqPnUmgu",Respons Kornas PDIP hingga Gerindra Usai Pertemuan Gibran Rakabuming Raka dengan Prabowo PresidenSubianto,respons kornas pdip hingga gerindra usai pertemuan gibran rakabuming raka dengan prabowo presidensubianto,"['respons', 'kornas', 'pdip', 'gerindra', 'pertemuan', 'gibran', 'rakabuming', 'raka', 'presidensubianto']","['respons', 'kornas', 'pdip', 'gerindra', 'temu', 'gibran', 'rakabuming', 'raka', 'presidensubianto']",respons kornas pdip gerindra temu gibran rakabuming raka presidensubianto
5,1661195561217982465,2023-05-24 02:20:59,,157anto,"RT @CNNIndonesia: Tiga nama bakal calon presiden akan maju di Pilpres 2024, yakni Prabowo Subianto, Anies Baswedan, dan Ganjar Pranowo. Ber…",Tiga nama bakal calon presiden akan maju Pilpres yakni Prabowo Subianto Anies Baswedan Ganjar Pranowo ,tiga nama bakal calon presiden akan maju pilpres yakni prabowo subianto anies baswedan ganjar pranowo ,"['nama', 'calon', 'presiden', 'maju', 'pilpres']","['nama', 'calon', 'presiden', 'maju', 'pilpres']",nama calon presiden maju pilpres
6,1661195438593298433,2023-05-24 02:20:30,,JoncyJonacta,"RT @eddy_widodo_165: Alhamdulilah 🤲
Bacapres @PDI_Perjuangan
Menurut Litbang Kompas dlm rilis hasil survei terbaru elektabilitas bakal capr…",Alhamdulilah Bacapres Menurut Litbang Kompas rilis hasil survei terbaru elektabilitas bakal capr,alhamdulilah bacapres menurut litbang kompas rilis hasil survei terbaru elektabilitas bakal capr,"['alhamdulilah', 'bacapres', 'litbang', 'kompas', 'rilis', 'hasil', 'survei', 'terbaru', 'elektabilitas', 'capr']","['alhamdulilah', 'bacapres', 'litbang', 'kompas', 'rilis', 'hasil', 'survei', 'baru', 'elektabilitas', 'capr']",alhamdulilah bacapres litbang kompas rilis hasil survei baru elektabilitas capr
7,1661195079875452930,2023-05-24 02:19:05,Alam Bawah Sadar,RSeptianEGeo,"265 Hari Menuju Pilpres 2024: 3 Kali Rebound dalam 43 Bulan, Prabowo Subianto Pimpin Klasemen Capres - Tribun Goron… https://t.co/PWF0Mrg8sW",Hari Menuju Pilpres Kali Rebound dalam Bulan Prabowo Subianto Pimpin Klasemen Capres Tribun Goron,hari menuju pilpres kali rebound dalam bulan prabowo subianto pimpin klasemen capres tribun goron,"['pilpres', 'kali', 'rebound', 'pimpin', 'klasemen', 'capres', 'tribun', 'goron']","['pilpres', 'kali', 'rebound', 'pimpin', 'klasemen', 'capres', 'tribun', 'goron']",pilpres kali rebound pimpin klasemen capres tribun goron
8,1661194651343413251,2023-05-24 02:17:23,"DKI Jakarta, Indonesia",ayojakartanews,"Dinner Ganjar dan Gibran Jadi Sorotan, Ada Kaitannya dengan Prabowo?
#GanjarPranowo #PrabowoSubianto #Gibran 
https://t.co/3OEn5J9jmm",Dinner Ganjar Gibran Jadi Sorotan Kaitannya dengan Prabowo GanjarPranowo PrabowoSubianto Gibran,dinner ganjar gibran jadi sorotan kaitannya dengan prabowo ganjarpranowo prabowosubianto gibran,"['dinner', 'gibran', 'sorotan', 'kaitannya', 'ganjarpranowo', 'prabowosubianto', 'gibran']","['dinner', 'gibran', 'sorot', 'kait', 'ganjarpranowo', 'prabowosubianto', 'gibran']",dinner gibran sorot kait ganjarpranowo prabowosubianto gibran
9,1661194325274038272,2023-05-24 02:16:05,Alam Bawah Sadar,RSeptianEGeo,"Ganjar Pranowo dan Gibran Rakabuming Dinner Bareng, Bahas Pertemuan dengan Prabowo PresidenSubianto? - Ayo Jakarta… https://t.co/boWEoZCL4w",Ganjar Pranowo Gibran Rakabuming Dinner Bareng Bahas Pertemuan dengan Prabowo PresidenSubianto Jakarta,ganjar pranowo gibran rakabuming dinner bareng bahas pertemuan dengan prabowo presidensubianto jakarta,"['gibran', 'rakabuming', 'dinner', 'bareng', 'bahas', 'pertemuan', 'presidensubianto', 'jakarta']","['gibran', 'rakabuming', 'dinner', 'bareng', 'bahas', 'temu', 'presidensubianto', 'jakarta']",gibran rakabuming dinner bareng bahas temu presidensubianto jakarta
