,Unnamed: 0,id,date,text,place,screen_name
0,0,1664285223654420480,2023-06-01 14:58:12,"RT @bianca01403: Iya bangeeeet. 

Jurnalis Nahdliyin: Kalau Indonesia Mau Maju, Pilih Anies Baswedan
https://t.co/mUOTz2j7tB

#SaatnyaBukaT…",,There91194264
1,1,1664285115575595008,2023-06-01 14:57:47,"RT @ki_cakrasurya: Dulu Anies nyelenggarakan formula E tanpa dukungan BUMN, cari bahan untuk mbangun dan aspalpun dipersulit, ternyata berh…",,SR21881
2,2,1664285099352006659,2023-06-01 14:57:43,"RT @Jatayu_45: SEMOGA ANIES BASWEDAN MENDAPATKAN EMPATI MASYARAKAT....‼️

#SaatnyaBukaTopengJokowi 
#SaatnyaBukaTopengJokowi 
🆘🆗 https://t.…",,There91194264
3,3,1664285067324325889,2023-06-01 14:57:35,RT @Aceh: Menurut Survey Twitter @Aceh lebih dari 70% Rakyat Aceh milih  Anies Baswedan @aniesbaswedan Sebagai Pilihan mereka untuk Preside…,,FahreziBadrun
4,4,1664284958343720961,2023-06-01 14:57:09,"RT @geloraco: Ahok Kalah di Pilkada Jakarta, jadi Alasan Jokowi Dendam ke Anies Baswedan
https://t.co/HxQLmxXuUV",,SahabatCel
5,5,1664284941482622977,2023-06-01 14:57:05,"RT @abwnews_: Spanduk Lamongan Bersatu Bersama Anies Baswedan Terpasang di Tiap Kecamatan

https://t.co/Zi2oy8B75L",,tsabitputu
6,6,1664284876802240512,2023-06-01 14:56:50,"RT @AntiPekines: Apakah sehebat itu Baswedan sehingga di halangi oleh tim menteri pertahana,tim gubernur aktif bahkan oleh tim presiden sen…",,tnbersama
7,7,1664284851443478531,2023-06-01 14:56:44,"RT @HidayatNatari: Semoga Vidio ini dapat menambah keyakinan rakyat dan kita untuk terus bersemangat, mendukung dan berikhtiar  memenangkan…",,Edy03482811
8,8,1664284850638172163,2023-06-01 14:56:43,RT @Aceh: Menurut Survey Twitter @Aceh lebih dari 70% Rakyat Aceh milih  Anies Baswedan @aniesbaswedan Sebagai Pilihan mereka untuk Preside…,,muawanah05
9,9,1664284841003868170,2023-06-01 14:56:41,RT @Mdy_Asmara1701: 1001 cara menjatuhkan Anies coba di lakukan. salah satunya adalah pelabelan kepada Anies Baswedan terkait politik ident…,,AhmadSyafiiNas4
10,10,1664284777292386312,2023-06-01 14:56:26,"RT @Mdy_Asmara1701: Semoga beliau dilancarkan dan senantiasa dalam lindungan Allah SWT 🙏🏼

Anies Baswedan Temui SBY Hari Ini di Pacitan
htt…","Jakarta Capital Region, Indone",abah_mumtaz
11,11,1664284774817759237,2023-06-01 14:56:25,"RT @alisyarief: Anies Baswedan Siap Hadirkan Keadilan dan Kemakmuran, Forum Doktor Antusias https://t.co/Oc6YCKeSPW","Matraman, Indonesia",jack_alenzo
12,12,1664284747324100611,2023-06-01 14:56:19,"RT @P3n99u94t: SEMESTA MENDUKUNG ANIES BASWEDAN...

SEMAKIN DI GEMPUR DAN DI PUKUL PENGUASA MALAH SEMAKIN BERSINAR....‼️

#SaatnyaBukaTopen…",,There91194264
13,13,1664284664041979908,2023-06-01 14:55:59,"RT @geloraco: Ahok Kalah di Pilkada Jakarta, jadi Alasan Jokowi Dendam ke Anies Baswedan
https://t.co/HxQLmxXuUV",,elfatahaji
14,14,1664284651194834947,2023-06-01 14:55:56,"RT @ch_chotimah2: Chusnul: Ganjar adalah sosok pemimpin yang lebih memilih untuk melayani masyarakat ketimbang dilayani.

Tak Dekat Rakyat…",,Sepatoe_kaca
15,15,1664284564104294402,2023-06-01 14:55:35,"SEMAKIN BPK ANIES  RASYID  BASWEDAN DI MUSUHI ,DI INTIMIDASI ,DI FITNAH  MAKA  SELURUH RAKYAT INDONESIA🇮🇩 AKAN BERS… https://t.co/6WAX6fWxjJ",,fransis74201222
16,16,1664284396004966404,2023-06-01 14:54:55,"RT @RedFish2323: Mengerikan gerakan Raja Kodok yg sdg frustasi berat krn usahanta terhadang Anies Baswedan sodok jujyr,bersih dan harapan r…",,There91194264
17,17,1664284258440216578,2023-06-01 14:54:22,RT @Yurissa_Samosir: Prestasi dan Gagasan Membuat kami bangga Pada Pak ANIES BASWEDAN https://t.co/mMjjxe8wAC,"Bekasi,  jawa barat",hzamzamnoer
18,18,1664284247715385344,2023-06-01 14:54:20,"RT @democrazymedia: Surya Paloh, AHY, dan Presiden PKS Cium 'Indikasi' Anies Baswedan Dijegal Penguasa
https://t.co/hefgz02ysM",Surabaya,SayudiRachmad
19,19,1664284244766777344,2023-06-01 14:54:19,"RT @bianca01403: 1. 
""Islam &amp; nasionalis adalah satu dalam sikap politik Anies untuk memperjuangkan keadilan sosial bagi seluruh rakyat Ind…",,There91194264
20,20,1664284231428874243,2023-06-01 14:54:16,"RT @Jatayu_45: JELANG PENGUMUMAN CAWAPRES ANIES BASWEDAN TEMUI SBY DI PACITAN

#SaatnyaBukaTopengJokowi
#SaatnyaBukaTopengJokowi
🆘🆗
 https:…",,There91194264
21,21,1664284198793019393,2023-06-01 14:54:08,"RT @oaseminang: Owh ini balas dendam ni ceritanya bohirnya dikalahin.. 

Ahok Kalah di Pilkada Jakarta, jadi Alasan Jokowi Dendam ke Anies…",,IMachjar
22,22,1664284166161326081,2023-06-01 14:54:00,"RT @ki_cakrasurya: Dulu Anies nyelenggarakan formula E tanpa dukungan BUMN, cari bahan untuk mbangun dan aspalpun dipersulit, ternyata berh…","Kobe City, Hyogo Japan",uusbustami
23,23,1664284140362162179,2023-06-01 14:53:54,"RT @Juliocaesar_11: @Mdy_Asmara1701 Klau semisal AHY ggl jdi cawapresnya Anies Baswedan dan membuat Demokrat kluar dr koalisi ""Perubahan"" m…",,Gr4sssss
24,24,1664284101472587782,2023-06-01 14:53:45,"RT @ki_cakrasurya: Dulu Anies nyelenggarakan formula E tanpa dukungan BUMN, cari bahan untuk mbangun dan aspalpun dipersulit, ternyata berh…",,Edy03482811
