,id,date,text,place,screen_name
0,1670417087553216512,2023-06-18 13:04:03,"RT @MuhiqR: PERJUANGAN SURYA PALOH yang mencalonkan Anies Baswedan sebagai Calon Presiden RI 🇮🇩 2024

Berjuang sampai tuntas 
Berjuang samp…","Bekasi Selatan, Indonesia",bagas462697
1,1670417033673191425,2023-06-18 13:03:50,"RT @P3n99u94t: ANIES BASWEDAN ADALAH SOSOK YANG CERDAS DAN BERWAWASAN GLOBAL....‼️

#AniesPresidenRakyatWaras
#AniesPresidenRakyatWaras
🆘🆗…",,AlihaidarHaida8
2,1670416962256764930,2023-06-18 13:03:33,"RT @MichelAdam7__: Kami masyarakat Indonesia di Melbourne Australia menyatakan:

1. Dukung  Anies Baswedan sebagai calon pada Pilpres 2024.…",Semarang,ernawati_sn
3,1670416879205367809,2023-06-18 13:03:13,"RT @HidayatNatari: INGAT INI PENTING
""...Jangan sembarangan memilih pemimpin... dan pilih presiden Anies Baswedan."".👍👍 https://t.co/etJk6gY…",,SuryoFauzan
4,1670416739895738370,2023-06-18 13:02:40,"RT @Mdy_Asmara1701: Wis wayahe...
Sosok seperti pak Anies Baswedan yang paling cocok jadi Presiden!

𝐈𝐭'𝐬 𝐓𝐢𝐦𝐞 𝐑𝐞𝐬𝐭𝐨𝐫𝐚𝐬𝐢 𝐈𝐧𝐝𝐨𝐧𝐞𝐬𝐢𝐚! https:/…",,WaniHel
5,1670416732270530560,2023-06-18 13:02:38,"RT @SuwandaBen: Kami masyarakat Indonesia di Melbourne Australia menyatakan :

1.Dukung  Anies Baswedan sbg calon presiden pd Pilpres 2024…","Kota Batam, Kepulauan Riau",alxander_Gotama
6,1670416718089560064,2023-06-18 13:02:35,RT @Yurissa_Samosir: Pak Suryo Paloh tidak Mementingkan Pribadi Melainkan Mementingkan Kemajuan Bangsa dan Pak Suryo Paloh Yakin Anies Basw…,,Pribumituan
7,1670416673562824704,2023-06-18 13:02:24,"RT @HidayatNatari: INGAT INI PENTING
""...Jangan sembarangan memilih pemimpin... dan pilih presiden Anies Baswedan."".👍👍 https://t.co/etJk6gY…","Karawang, Jawa Barat",arikosiri
8,1670416665958547463,2023-06-18 13:02:22,"RT @MuhiqR: Anies Baswedan Mengajar di SD Inpres Perumnas Makasar.

""Tugas orang terdidik adalah mendidik, Kelas Inspirasi ini adalah conto…","Padang Panjang, Indonesia",asykadi
9,1670416662640861186,2023-06-18 13:02:21,@Cendana_20 @Yak_An5 @There91194264 @MENANGCURANGKAU @N4G707 @Deslini2 @Ibn_xine @HMMurah3 @mak_itaam @KaumTabu… https://t.co/M3XuHURwQz,,BerisikMedsos
10,1670416623663198210,2023-06-18 13:02:12,"RT @P3n99u94t: PENGAMAT POLITIK ROCKY GERUNG MELIHAT ADA UPAYA DARI PRESIDEN JOKOWI MELEMAHKAN ANIES BASWEDAN....‼️

#AniesPresidenRakyatWa…",,P3n99u94t
11,1670416622916620289,2023-06-18 13:02:12,RT @Yurissa_Samosir: Pak Suryo Paloh tidak Mementingkan Pribadi Melainkan Mementingkan Kemajuan Bangsa dan Pak Suryo Paloh Yakin Anies Basw…,,Zoel_Dmk
12,1670416555493179395,2023-06-18 13:01:56,RT @prabawananda: Skandal dr 2012? Apa krn ini ⁦@aniesbaswedan⁩ maksa diri nyapres? Biar sang adik aman? ⁦@DivHumas_Polri hrs bs ngusut sec…,Kutapohaci Ciampel Karawang ,_ghadeh
13,1670416551907037184,2023-06-18 13:01:55,"RT @abwnews_: Pemilu 2024 Panggung Politik Anies Baswedan

https://t.co/63VDulyggK",Sahara Desert,BaladaHantu
14,1670416445975715842,2023-06-18 13:01:30,RT @hc_poirot: makin banyak warga nahdliyin membentuk satuan² relawan yg mendukung pencapresan anies baswedan pada pilpres 2024 https://t.c…,"Kota Medan, Sumatera Utara",makbari99
15,1670416420709216256,2023-06-18 13:01:24,RT @Yurissa_Samosir: Pak Suryo Paloh tidak Mementingkan Pribadi Melainkan Mementingkan Kemajuan Bangsa dan Pak Suryo Paloh Yakin Anies Basw…,"Kota Bogor, Jawa Barat",tedy_bambang
16,1670416398735249410,2023-06-18 13:01:18,RT @Yurissa_Samosir: Pak Suryo Paloh tidak Mementingkan Pribadi Melainkan Mementingkan Kemajuan Bangsa dan Pak Suryo Paloh Yakin Anies Basw…,,safrizalidris2
17,1670416323149692928,2023-06-18 13:01:00,"RT @Jatayu_45: DEMOKRAT TETAP SETIA PADA KOALISI PERUBAHAN DENGAN CAPRES ANIES BASWEDAN....‼️

#BasmiMafiaSembako
#BasmiMafiaSembako
🆘🆗 htt…",,FerGHushO007
18,1670416292187361283,2023-06-18 13:00:53,RT @hc_poirot: makin banyak warga nahdliyin membentuk satuan² relawan yg mendukung pencapresan anies baswedan pada pilpres 2024 https://t.c…,,SetiawatySari
19,1670416251213185025,2023-06-18 13:00:43,RT @mediaindonesia: Bakal calon presiden (capres) Anies Baswedan menilai masa depan Indonesia tercermin dari Jakarta. Hal ini merujuk pada…,AUSTRALIA,Crypto_Khair
20,1670416250214965250,2023-06-18 13:00:43,"RT @P3n99u94t: PENGAMAT POLITIK ROCKY GERUNG MELIHAT ADA UPAYA DARI PRESIDEN JOKOWI MELEMAHKAN ANIES BASWEDAN....‼️

#AniesPresidenRakyatWa…",,IrmansyahAdhy
21,1670416248650465283,2023-06-18 13:00:43,"RT @bachrum_achmadi: Dalam kepemimpinan &amp; kebijakan, perubahan u/ perbaikan adalah keniscayaan.

Mk dr itu butuh seorg Anies Baswedan u/ me…",,melikan_senen
22,1670416187417837569,2023-06-18 13:00:28,"@MelodiAsyik Anies Baswedan jelas sangat cerdas dlm segala bidang tentu ngerti tata kelola bernegara..
Sbgi bacalon… https://t.co/DZSVUAcSsq",,UcokPart
23,1670416085030694914,2023-06-18 13:00:04,RT @Yurissa_Samosir: Pak Suryo Paloh tidak Mementingkan Pribadi Melainkan Mementingkan Kemajuan Bangsa dan Pak Suryo Paloh Yakin Anies Basw…,ANDALAS ISLAND,RUDIHAR85034371
24,1670416065124499457,2023-06-18 12:59:59,"RT @ardi_riau5: Isterinya Anies Baswedan itu seorang DR, juga wanita karir. Bahasa Inggrisnya mengalir seperti air. emang pas jadi ibu nega…",,Razis77498534
25,1670416058069688322,2023-06-18 12:59:57,RT @Yurissa_Samosir: Pak Suryo Paloh tidak Mementingkan Pribadi Melainkan Mementingkan Kemajuan Bangsa dan Pak Suryo Paloh Yakin Anies Basw…,,allyazhar3
26,1670415966684209154,2023-06-18 12:59:35,"RT @yangmi3prnew: Wow ternyata begitu Meriahnya kasus korupsi era Wan Yohanies, Ayo dong KPK @firlibahuri Rakyat anti korupsi dukung banget…","West Java, Indonesia",sun_reus14
27,1670415953342103553,2023-06-18 12:59:32,RT @GeiszChalifah: Saya mengucapkan TERIMAKASIH Sebanyak-banyaknya. kepada semua teman  dari beberapa Partai yg telah menawarkan untuk ikut…,,FerGHushO007
28,1670415950485807104,2023-06-18 12:59:32,@GeiszChalifah @kangdede78 @erickthohir Si Kunyuk tahu Anies Baswedan dan keluarganya gak bakalan memperkarakan per… https://t.co/OoeH5MfLWO,Indonesia ,IwanKurus8
29,1670415928725757956,2023-06-18 12:59:26,"RT @P3n99u94t: BERSAMA ANIES BASWEDAN MENUJU PERUBAHAN INDONESIA LEBIH BAIK

#RakyatGelarPeoplePower 
#RakyatGelarPeoplePower 
🆘🆗 https://t…",,6ikhtiar
30,1670415868000624646,2023-06-18 12:59:12,"RT @SuwandaBen: Kami masyarakat Indonesia di Melbourne Australia menyatakan :

1.Dukung  Anies Baswedan sbg calon presiden pd Pilpres 2024…",Ring 1,Lub4ngBu4y4
31,1670415795845996544,2023-06-18 12:58:55,"RT @MuhiqR: Enak lagunya ..

Presiden RI Calon Presiden RI 🎶
Anies Rasyid Baswedan kita dukung sampai jadi 🎶
Anies Rasyid Baswedan kita kaw…","Karawang, Jawa Barat",DENI22570638
32,1670415787356725248,2023-06-18 12:58:53,RT @Uki23: Julukan Baru Pendukung Anies Baswedan dari Politisi PSI: Mister Hoax of Indonesia https://t.co/hQcysOV1Mv,"Jakarta Barat, DKI Jakarta",takdelok
33,1670415757359063047,2023-06-18 12:58:46,"Anies Mulai Salip Ganjar di Surveri IPO, Survei LSN: Hampir 100% Pemilih Beragama Islam Dukung Anies Baswedan… https://t.co/RiQm8mAoJJ",,heryantoaseng
34,1670415696722022400,2023-06-18 12:58:31,"RT @MuhiqR: Enak lagunya ..

Presiden RI Calon Presiden RI 🎶
Anies Rasyid Baswedan kita dukung sampai jadi 🎶
Anies Rasyid Baswedan kita kaw…",,SheTiaa2
35,1670415593936416768,2023-06-18 12:58:07,"@Yurissa_Samosir Saya orang NTB, yakin ,biidznillah,,insyaAllah 88 % suara rakyat NTB utk Anies Baswedan","Lombok Barat, Nusa Tenggara Ba",Reifky2121
36,1670415532875735040,2023-06-18 12:57:52,"RT @abwnews_: Anies Baswedan Ingin Perbaiki Kebijakan yang Berdampak Buruk pada Rakyat

https://t.co/LhqtwFC7S3",,penjualmadu3
37,1670415514546626561,2023-06-18 12:57:48,"RT @MuhiqR: PERJUANGAN SURYA PALOH yang mencalonkan Anies Baswedan sebagai Calon Presiden RI 🇮🇩 2024

Berjuang sampai tuntas 
Berjuang samp…",,Loveinloveyz
38,1670415506296418304,2023-06-18 12:57:46,"RT @HidayatNatari: INGAT INI PENTING
""...Jangan sembarangan memilih pemimpin... dan pilih presiden Anies Baswedan."".👍👍 https://t.co/etJk6gY…",Surabaya ,gunung3tilu
39,1670415500319543296,2023-06-18 12:57:44,RT @Yurissa_Samosir: Kesaksian dari Hana Charistia (Protestan ) dan Maria Laurensia (Katolik ) tentang Rekam Jejak Pak Anies Baswedan... du…,,akunkangJamal
40,1670415472880414721,2023-06-18 12:57:38,RT @Yurissa_Samosir: Pak Suryo Paloh tidak Mementingkan Pribadi Melainkan Mementingkan Kemajuan Bangsa dan Pak Suryo Paloh Yakin Anies Basw…,,Loveinloveyz
