,Unnamed: 0,id,date,text,place,screen_name
0,0,1664284281269800961,2023-06-01 14:54:28,"RT @IwanKunik: Keren pak Ganjar Pranowo 👍👍 kerja keras tak akan pernah mengkhianati hasil.
#GanjarMenangTotal https://t.co/e5VMKnisTn",,Sepatoe_kaca
1,1,1664284242849972225,2023-06-01 14:54:19,"RT @otnayram_me: Di alun alun Pancasila Cepogo Boyolali, Ganjar Pranowo melaksanakan upacara peringatan Hari Lahir Pancasila 

Dari lereng…",,ocongBoyy
2,2,1664284215817666562,2023-06-01 14:54:12,Ganjar Pranowo Pidato Menggebu-Gebu saat Peresmian Rumah Aspirasi Relawan https://t.co/6QE7YPGRxP https://t.co/QhAlBDv80X,di hp mu ,dirty_links
3,3,1664284189934645253,2023-06-01 14:54:06,"RT @FirzaHusain: Mirip dgn pa Jokowi, pa Ganjar Pranowo adalah pelayan rakyat, tuannya adalah rakyat, beliau berdua banyak kesamaan, sama2…","DKI Jakarta, Indonesia",bakekoganteng
4,4,1664284185543200772,2023-06-01 14:54:05,"RT @carolin8810: Ganjar pranowo terkesima dengan seorang balita yang hafal Pancasila dan lagu Indonesia Raya
Dan mengatakan ini adalah iden…",,Sepatoe_kaca
5,5,1664284173761396736,2023-06-01 14:54:02,"RT @AqiaqiH: Partai Hanura resmi menyatakan dukungan ke Ganjar Pranowo.

#GanjarMenangTotal https://t.co/cRGiuLqUqr",,Sepatoe_kaca
6,6,1664284151988776960,2023-06-01 14:53:57,"RT @SiroLaw3: Ganjar Pranowo sosok pemimpin yg selalu dekat dgn rakyat,
Masihkan kita meragukan ketulusan  beliau?

@ganjarpranowo
#GanjarM…",,Sepatoe_kaca
7,7,1664284141926645763,2023-06-01 14:53:54,"RT @langityang7: #GanjarMenangTotal 
Ganjar Serukan Masyarakat Bersatu

BOYOLALI - Hari lahir Pancasila 1 Juni 2023 diperingati secara berb…",,Sepatoe_kaca
8,8,1664284113405349890,2023-06-01 14:53:48,RT @azzahrariani008: Hari lahir Pancasila 1 Juni 2023 diperingati Gubernur Jawa Tengah Ganjar Pranowo yaitu menggelar upacara peringatan ha…,,Sepatoe_kaca
9,9,1664284074087944192,2023-06-01 14:53:38,"RT @Alfiansyahfahri: Pak Ganjar Pranowo itu contoh pemimpin yg tidak suka di layani.. @ganjarpranowo punya prinsip tuannya rakyat.

#Ganjar…",,Sepatoe_kaca
10,10,1664284061458915331,2023-06-01 14:53:35,"Ganjar Pranowo memperingati hari lahir Pancasila tingkat provinsi jAteng

#GanjarCapres https://t.co/AMDIMItp8H",,Inisiall67
11,11,1664284049568047109,2023-06-01 14:53:32,RT @carolin8810: Milenial komunitas Ganjar memilih Pak Ganjar pranowo karena melihat rekam jejak Pak Ganjar yang selalu menjadi pelayan mas…,,Sepatoe_kaca
12,12,1664284037245190146,2023-06-01 14:53:30,"RT @CahAngo45022699: Mau lihat adab orang Indonesia yg luar biasa, lihatlah calon presiden Ganjar Pranowo, kalo ada capres yg adabnya kuran…",,Sepatoe_kaca
13,13,1664283988817739778,2023-06-01 14:53:18,"RT @IwanKunik: Lanjut kan pak Ganjar Pranowo 👍👍
#GanjarMenangTotal https://t.co/4DYqmxOQ2W",north sumatra,Boyzneboyzone
14,14,1664283976025124866,2023-06-01 14:53:15,"RT @IwanKunik: Maju terus pak Ganjar Pranowo 👍👍
#GanjarMenangTotal https://t.co/guUhD5Jt5F",north sumatra,Boyzneboyzone
15,15,1664283974989123584,2023-06-01 14:53:15,"RT @SiroLaw3: Luar biasa ..
Gubernur Jawa Tengah Ganjar Pranowo  menolak pemberian hadiah dalam bentuk apapun dan dari siapapun.

Alasannya…",,Sepatoe_kaca
16,16,1664283965937823751,2023-06-01 14:53:13,"RT @Aryprasetyo85: #GanjarMenangTotal
Momentum Hari Lahir Pancasila, @ganjarpranowo Resmikan Alun Alun Pancasila di Boyolali

Dalam momentu…",,AntiKadrun_
17,17,1664283965489029129,2023-06-01 14:53:12,"RT @IwanKunik: PPP Sulawesi Utara siap menangkan Ganjar Pranowo 👍👍
#GanjarMenangTotal https://t.co/u38uukoTWT",north sumatra,Boyzneboyzone
18,18,1664283951127744512,2023-06-01 14:53:09,"RT @IwanKunik: Maju terus pak Ganjar Pranowo 👍👍
#GanjarMenangTotal https://t.co/6Ackues4UX",north sumatra,Boyzneboyzone
19,19,1664283944924360706,2023-06-01 14:53:08,"RT @Aryprasetyo85: #GanjarMenangTotal
@ganjarpranowo: Jangan Korupsi!, Pesan Gubernur Kepada Para Perangkat Desa

Gubernur Jawa Tengah Ganj…",,AntiKadrun_
20,20,1664283936678379524,2023-06-01 14:53:06,"RT @IwanKunik: Maju terus pak Ganjar Pranowo..sosok pemimpin yang tepat untuk Indonesia 👍
#GanjarMenangTotal https://t.co/v9XeZFlASs",north sumatra,Boyzneboyzone
21,21,1664283924472922112,2023-06-01 14:53:03,"RT @IwanKunik: Maju terus pak Ganjar Pranowo 👍👍
#GanjarMenangTotal https://t.co/CniaXQSr3u",north sumatra,Boyzneboyzone
22,22,1664283911080517637,2023-06-01 14:52:59,RT @IwanKunik: Ganjar Pranowo sosok yang tepat untuk melanjutkan kepemimpinan presiden RI bapak Joko Widodo. Dan meneruskan program program…,north sumatra,Boyzneboyzone
