,id,date,text,place,screen_name
0,1686009418855383040,2023-07-31 13:42:24,"RT @NenkMonica: Jika ada 2 Calon Presiden di Pilpres 2024, siapa yg akan anda pilih ?
Denny Cagur      👉 RETWEET 
Ganjar Pranowo 👉 LIKE htt…",,ahmad78081
1,1686009410517102592,2023-07-31 13:42:22,"RT @barikade_98: Punya Kompetensi yang Sesuai, Erick Thohir Cocok Dampingi Ganjar Pranowo 

#Barikade98 
#BangkitBersamaET 
#kitaatasi 

 h…",Jakarta Capital Region,barikade_98
2,1686009391349223424,2023-07-31 13:42:18,"Punya Kompetensi yang Sesuai, Erick Thohir Cocok Dampingi Ganjar Pranowo 

#Barikade98 
#BangkitBersamaET… https://t.co/cDeAfDRjry",Jakarta Capital Region,barikade_98
3,1686009382117502976,2023-07-31 13:42:15,RT @__RismaWidiono_: Hal tersebut disampaikan dalam acara bertajuk '1.000 milenial dan Gen Z Menatap Laut Bersama Ganjar Pranowo' yang dige…,Indonesia,wil_ws_
4,1686009278858244096,2023-07-31 13:41:51,"Ganjar Milenial Center Jatim siap menangkan Ganjar Pranowo ! 
#GanjarPranowo #viral #fyp
Nge X
Bajingan Tolol
Rocky… https://t.co/9fKp67Y0jm",Indonesia,adrianadya_
5,1686009213439377409,2023-07-31 13:41:35,"RT @ch_chotimah2: Tidak ada habisnya, baru aja 4 juta driver ojol, purnawirawan TNI dan polri, skrng ada 500 tukang becak di Bogor siap men…",,devy_casanofa
6,1686009164412403712,2023-07-31 13:41:23,"Ekonomi Jateng meningkat ditangan Ganjar Pranowo ! Mantap dukung Ganjar #GanjarPranowo #viral #fyp
Nge X
Bajingan T… https://t.co/kTbI9BAcvt",Indonesia,adrianadya_
7,1686009112809844736,2023-07-31 13:41:11,"RT @seruanhl: Tukang Becak se Kota Bogor mendukung penuh dan siap memenangkan Pak Ganjar Pranowo di Pilpres 2024.

Luar biasa👏👏

Cc.
@ganja…",🌞,SantorinisSun
8,1686008970744631296,2023-07-31 13:40:37,@ruhutsitompul Calon kuatnya Ganjar Pranowo,,wonosantoso
9,1686008930936205319,2023-07-31 13:40:28,"RT @Miduk17: Ribuan TUKANG BECAK di Bogor mendeklarasikan dukungan ke Ganjar Pranowo

Deklarasi ini memastikan bahwa suara Ganjar adalah su…",,SigitWasito8
10,1686008923910987776,2023-07-31 13:40:26,"Ganjar Pranowo pemimpin yang sat set, bijaksana dan tegas! Dukung Ganjar! #GanjarPranowo #viral #fyp
Nge X
Bajingan… https://t.co/WCQZ5BqZSe",Indonesia,adrianadya_
11,1686008777223573504,2023-07-31 13:39:51,"Ganjar Pranowo banyak didukung milenial dan para ulama 
4 https://t.co/XJXiDPyC30",Surakarta Jawa Tengah,nonie_mis
12,1686008774837043201,2023-07-31 13:39:51,"Ganjar Pranowo banyak didukung milenial dan para ulama 
3 https://t.co/awnkDylt68",Surakarta Jawa Tengah,nonie_mis
13,1686008772383358976,2023-07-31 13:39:50,"Ganjar Pranowo banyak didukung milenial dan para ulama 
2 https://t.co/nTGYFZivtp",Surakarta Jawa Tengah,nonie_mis
14,1686008768570769408,2023-07-31 13:39:49,"Ganjar Pranowo banyak didukung milenial dan para ulama 
1 https://t.co/5PJyAK0zkL",Surakarta Jawa Tengah,nonie_mis
15,1686008718016540672,2023-07-31 13:39:37,"RT @abwnews_: Viral Ganjar Pranowo Pembicara, Milenial Kompak Keluar Menguber Anies Baswedan

https://t.co/toJhBuoRGY",,mujaaulia29
16,1686008661674721280,2023-07-31 13:39:24,"Ganjar Pranowo, sosok yang sangat mendukung dan memperhatikan milenial dan gen-Z untuk bangkit
#GanjarPranowo… https://t.co/kp8dZORbzU","Jawa Timur, Indonesia",Official_SAGA_
17,1686008628040626176,2023-07-31 13:39:16,"Ganjar Pranowo, pemimpin sat set, bijaksana dan tegas
#GanjarPranowo #GanjarCapres #GanjarHebat… https://t.co/zhzpgnIxEQ","Jawa Timur, Indonesia",Official_SAGA_
18,1686008519995400192,2023-07-31 13:38:50,@Aryprasetyo85 @ganjarpranowo Ganjar Pranowo pilihanku,"Kota Bandung, Jawa Barat",Virgin_97
19,1686008461220515840,2023-07-31 13:38:36,"RT @cobeh2022: ""Saya Ini.....
Gubernur Gagal,
Tidak Siap Jadi Presiden"".
Pernyataan
Ganjar Pranowo
Saat Diwawancarai
Andy F Noya
.
https://…",purwokerto,readajha
20,1686008403037220866,2023-07-31 13:38:22,"RT @Aryprasetyo85: Bacapres @ganjarpranowo Dikenal Sebagai Sosok yang Religius dan Mengayomi

Bacapres Ganjar Pranowo dinilai sebagai sosok…","Kota Bandung, Jawa Barat",Virgin_97
21,1686008366672560128,2023-07-31 13:38:13,"RT @Cintada16: Relawan Desa untuk Ganjar Provinsi Jambi, menemui Pak Ganjar Pranowo 30/7/2023. Mereka menyampaikan dukungan secara langsung…",,Nast_1205
22,1686008178486730752,2023-07-31 13:37:28,"RT @SantorinisSun: Persis!!!
Seperti halnya mantan Panglima TNI Jenderan Andika menyatakan alasannya mendukung Ganjar Pranowo.
Ini soal pre…",NKRI,pancasila_nkri
23,1686008172111339520,2023-07-31 13:37:27,"RT @seruanhl: Tukang Becak se Kota Bogor mendukung penuh dan siap memenangkan Pak Ganjar Pranowo di Pilpres 2024.

Luar biasa👏👏

Cc.
@ganja…","Wonosobo, Indonesia",s4_mijo
24,1686008115802898432,2023-07-31 13:37:13,"RT @KakekHalal: Boyong UMKM ke Kalsel, Atikoh Ganjar; Cara Jateng Lebarkan Sayap Pemasaran

Ketua Dekranasda Jawa Tengah Siti Atikoh Ganjar…","ÜT: -7.3248241,112.7885584",afif_lmg
25,1686008108189941760,2023-07-31 13:37:12,RT @Dew0W1snu: Rekor WTP ini tak akan tercapai jika pemerintahan di bawah kepemimpinan Ganjar Pranowo tidak melaksanakan tata kelola pemeri…,,aan_muba
26,1686008019640016896,2023-07-31 13:36:51,"RT @idtodayco: Viral Ganjar Pranowo Pembicara, Milenial Kompak Keluar Menguber Anies Baswedan
https://t.co/Azmp0MmJkk",,RakhaHusain
27,1686008001683951617,2023-07-31 13:36:46,"RT @Cintada16: Relawan Desa untuk Ganjar Provinsi Jambi, menemui Pak Ganjar Pranowo 30/7/2023. Mereka menyampaikan dukungan secara langsung…",,aan_muba
