,id,date,text,place,screen_name
0,1661196377966387201,2023-05-24 02:24:14,"RT @BANGSAygSUJUD: ""Kali ini sudah saatnya @prabowo menggantikan dan melanjutkan Presiden Jokowi"" Tutur Jend. Purn. Wiranto yg telah mendam…",,florieliciouss
1,1661195956300435458,2023-05-24 02:22:34,"4 Respons Kornas, PDIP, hingga Gerindra Usai Pertemuan Gibran Rakabuming Raka dengan Prabowo Subianto https://t.co/EqXF6CYX7w",INDONESIA,liputan6dotcom
2,1661195925774274560,2023-05-24 02:22:26,"RT @Paltiwest: Prabowo Subianto: 24,5%
Ganjar Pranowo: 22,8%
Anies Baswedan: 13,6%

Survei periodik Litbang Kompas melalui wawancara tatap…",,BiBoDah1
3,1661195905796812800,2023-05-24 02:22:22,"RT @mingtongue_: Partai besutan Prabowo Subianto ini unggul dari Golkar yang berada di peringkat kedua dengan angka keterpilihan 13,8 perse…",West java,7uventusia
4,1661195584211128320,2023-05-24 02:21:05,"4 Respons Kornas, PDIP, hingga Gerindra Usai Pertemuan Gibran Rakabuming Raka dengan Prabowo PresidenSubianto -… https://t.co/f2BqPnUmgu",Alam Bawah Sadar,RSeptianEGeo
5,1661195561217982465,2023-05-24 02:20:59,"RT @CNNIndonesia: Tiga nama bakal calon presiden akan maju di Pilpres 2024, yakni Prabowo Subianto, Anies Baswedan, dan Ganjar Pranowo. Ber…",,157anto
6,1661195438593298433,2023-05-24 02:20:30,"RT @eddy_widodo_165: Alhamdulilah 🤲
Bacapres @PDI_Perjuangan
Menurut Litbang Kompas dlm rilis hasil survei terbaru elektabilitas bakal capr…",,JoncyJonacta
7,1661195079875452930,2023-05-24 02:19:05,"265 Hari Menuju Pilpres 2024: 3 Kali Rebound dalam 43 Bulan, Prabowo Subianto Pimpin Klasemen Capres - Tribun Goron… https://t.co/PWF0Mrg8sW",Alam Bawah Sadar,RSeptianEGeo
9,1661194651343413251,2023-05-24 02:17:23,"Dinner Ganjar dan Gibran Jadi Sorotan, Ada Kaitannya dengan Prabowo?
#GanjarPranowo #PrabowoSubianto #Gibran 
https://t.co/3OEn5J9jmm","DKI Jakarta, Indonesia",ayojakartanews
10,1661194325274038272,2023-05-24 02:16:05,"Ganjar Pranowo dan Gibran Rakabuming Dinner Bareng, Bahas Pertemuan dengan Prabowo PresidenSubianto? - Ayo Jakarta… https://t.co/boWEoZCL4w",Alam Bawah Sadar,RSeptianEGeo
12,1661194266914459648,2023-05-24 02:15:51,"RT @anwaribrahim: Meski jadual yang padat pada Pameran Maritim dan Aeroangkasa Antarabangsa Langkawi (LIMA '23), saya sempat ketemu Menteri…","Wilayah Persekutuan Putrajaya,",razmi_azim
15,1661194110148161536,2023-05-24 02:15:14,"Litbang Kompas merilis hasil survei terbaru elektabilitas bakal capres 2024. Simulasi tiga nama, Ganjar Pranowo men… https://t.co/bKZAAMT9W1",,jarudin59
16,1661194066221203456,2023-05-24 02:15:03,"RT @SE0K0: Pulau Selebes tetap setia dukung Prabowo 

Gerindra pun unggul cukup jauh di Sulawesi dengan elektabilitas 27,6 persen. Partai b…",West java,7uventusia
17,1661193825719558145,2023-05-24 02:14:06,"Masih belum solidnya kadar loyalitas dukungan pada ketiga calon presiden rujukan publik: Anies Baswedan, Ganjar Pra… https://t.co/9RBgQdNaW7","Palmerah, Jakarta",hariankompas
18,1661193813925453824,2023-05-24 02:14:03,"RT @Subur0204: Karena di SURVEY Anis selalu yg paling buncit tapi dia juga yang paling sering diserang, maka akan saya uji untuk membuat po…",,UnpetitG
19,1661193744845090820,2023-05-24 02:13:46,"Masih belum solidnya kadar loyalitas dukungan pada ketiga calon presiden rujukan publik: Anies Baswedan, Ganjar Pra… https://t.co/rSAu1QzSTX","Palmerah, Jakarta",KompasData
20,1661193732727922690,2023-05-24 02:13:44,RT @eribgo: Kebersamaan Presiden Jokowi dengan Menhan Prabowo Subianto terpantau melahirkan tagar yang trending dalam beberapa hari terakhi…,,xa_vier99
21,1661193687551082498,2023-05-24 02:13:33,Ketua Umum Gerindra Prabowo Subianto #SemuaDukungPrabowo #IkutPakde #SayaSetyoko,,ratih_ploey
22,1661193683360944128,2023-05-24 02:13:32,"RT @eribgo: Keakraban Presiden Jokowi dengan Menhan Prabowo Subianto mendapat perhatian luas dari publik.
dan menjadi trending topic di Twi…",,xa_vier99
23,1661193681532248064,2023-05-24 02:13:31,"Lalu bagaimana dengan elektabilitas Prabowo Subianto, Anies Baswedan dan Erick Thohir? #SemuaDukungPrabowo #IkutPakde #SayaSetyoko",,ratih_ploey
24,1661193658652323840,2023-05-24 02:13:26,RT @Kemhan_RI: Menteri Pertahanan RI Prabowo Subianto @prabowo menyaksikan penandatanganan dua MoU antara industri pertahanan Indonesia dan…,,BahamasJefry
28,1661192944332963842,2023-05-24 02:10:36,RT @dianmar93: Memiliki daya tarik elektoral yang cukup besar @erickthohir menjadi cawapres yang potensial untuk Prabowo Subianto. https://…,"Medan Baru, Indonesia",NabilaAr__
