,Unnamed: 0,id,date,text,place,screen_name
0,0,1664284708317065218,2023-06-01 14:56:10,Terima kasih atas ucapan n doa dari teman-teman Presidium Relawan Prabowo Subianto @prabowo @Gerindra @PRPS_08 https://t.co/c7BYANrMZ2,Indonesia,fadlizon
1,1,1664284558223876104,2023-06-01 14:55:34,RT @florieliciouss: Prabowo Subianto yang juga merupakan pendiri Garuda Yaksa Football Academy menengok para pemain U-17 Persib yang dikiri…,,BANGSAygSUJUD
2,2,1664284466548998144,2023-06-01 14:55:12,RT @Harumiii_kn: Milenial dan Gen Z Prabowo Mulai Merambah DKI Jakarta #SemuaDukungPrabowo #ManutJokowi  Prabowo Subianto https://t.co/IJYR…,Khoiril Anwar,KhoirilAnwar_
3,3,1664283616053174273,2023-06-01 14:51:49,"RT @indadilmakmur: Terima kasih Bapak Prabowo. Terima kasih Bapak #Prabowo, ujar Tim U-17 Persib yang mengikuti program pelatihan di Aspire…",,NovendraPutra4
4,4,1664283167233282052,2023-06-01 14:50:02,Menhan Prabowo Subianto meresmikan total 31 titik sumber air di Nusa Tenggara Barat (NTB) sebagai langkah serius un… https://t.co/rqewAzpFkm,"Jakarta Pusat, DKI Jakarta",SINDOnews
5,5,1664283128217862145,2023-06-01 14:49:53,"Menteri Pertahanan (Menhan) RI, Prabowo Subianto yang juga merupakan pendiri Garuda Yaksa Football Academy menengok… https://t.co/MlA8amEgn2",,mymyny1887077
6,6,1664278345205571588,2023-06-01 14:30:52,"RT @Kemhan_RI: Menteri Pertahanan Prabowo Subianto @prabowo menegaskan, komponen cadangan sebagai bagian dari sishankamrata, sangat penting…",Pulomas - Jakarta,billyfissabilly
7,7,1664278301307985928,2023-06-01 14:30:42,"RT @tifsembiring: Hasil akhir polling twitter:

1. Ganjar Pranowo 9%
2. Prabowo Subianto 8%
3. Anies Baswedan 82%
4. Airlangga Hartarto 1%…",🌐🇲🇨#GakFollowPorn#GkRTLPorn,Danrim84
8,8,1664278162640089091,2023-06-01 14:30:09,"RT @Kemhan_RI: Menteri Pertahanan Prabowo Subianto @prabowo menegaskan, komponen cadangan sebagai bagian dari sishankamrata, sangat penting…","Duren Sawit, DKI, Indonesia",Kenikir27
9,9,1664277494793633792,2023-06-01 14:27:30,"RT @indadilmakmur: Terima kasih Bapak Prabowo. Terima kasih Bapak #Prabowo, ujar Tim U-17 Persib yang mengikuti program pelatihan di Aspire…",,GerindraJakPus
10,10,1664276392887087107,2023-06-01 14:23:07,@Papabowo1 bapak Prabowo Subianto yang kami hormati sungguh kami sangat merindukan kepemimpinan bapak sebagai presi… https://t.co/g0XIReo1uw,,umihermin5
11,11,1664276289833037824,2023-06-01 14:22:42,@CNNIDdaily Sepertinya agenda politik menaikkan issue seperti ini untuk menggoyang elektabilitas Prabowo Subianto (… https://t.co/rUI6ffMVjY,"Bekasi, Jawa Barat",offisyelstore
12,12,1664276230055804934,2023-06-01 14:22:28,RT @florieliciouss: Prabowo Subianto yang juga merupakan pendiri Garuda Yaksa Football Academy menengok para pemain U-17 Persib yang dikiri…,𝙅𝙖𝙠𝙖𝙧𝙩𝙖,Alie_Fahnoor
13,13,1664275613417623553,2023-06-01 14:20:01,"Survei Y-Publica: Prabowo Subianto Berhasil Kalahkan Ganjar Pranowo, Anies Baswedan 'Nyungsep' https://t.co/qtvSXAPrVu","Jakarta, Indonesia",WartaEkonomi
14,14,1664273616358494208,2023-06-01 14:12:05,RT @gadotaja: Gerindra Galang Dukungan Anak Muda untuk Prabowo Capres 2024 dengan Turnamen Bola di Ponorogo https://t.co/6GrqRBEaQj  #Semua…,,ResLexan
15,15,1664273484946763779,2023-06-01 14:11:34,"RT @goentz1: Silsilah Keluarga Prabowo Subianto, Ternyata Keturunan Ningrat

#SemuaDukungPrabowo
Prabowo Subianto https://t.co/vnlpkzPXF5",,SirikiBert52918
16,16,1664272617862467590,2023-06-01 14:08:07,"Prabowo Subianto Sudah Kantongi Nama Bakal Cawapresnya, Begini Penjelasan Desmond - Kompas TV #Prabowo… https://t.co/Qe5ABkqdoO",,Akubknultramen
17,17,1664272611541659649,2023-06-01 14:08:05,"Ganjar Pranowo Jadi Capres, Prabowo Subianto Buka Kemungkinan Merapat ke PDIP - https://t.co/KiOMbeSk4N #Prabowo… https://t.co/grlguKrOY5",,Akubknultramen
18,18,1664271903517970434,2023-06-01 14:05:17,"""Bangsa yang unggul adalah bangsa yang hidup dalam jiwa kebersamaan, kekeluargaan dan persatuan."" - Prabowo Subiant… https://t.co/m8llSs7s2D","Kota Magelang, Jawa Tengah",gerindra_ktmgl
19,19,1664271220479778824,2023-06-01 14:02:34,RT @Ninaang06470572: Melejitnya Elektabilitas Prabowo dan Perubahan Citra Militer menjadi Humanis  #SemuaDukungPrabowo #ManutJokowi Prabowo…,011010110110010101111001,propaganda_99
20,20,1664270573009264649,2023-06-01 13:59:59,"Sat... Set...! Wat... Wet...!
setelah mengirim Tim Garuda Muda U-17 ke Academy Qatar, Bapak Prabowo Subianto langsu… https://t.co/Plxnjg6aMx","Puri Majapahit B3, Mojokerto",gerindramjk
21,21,1664270007478681604,2023-06-01 13:57:45,"RT @simple_heart68: Jangan bilang gitu Min....ntar elektabilitas yang disebelah terjun bebas....

🤭🤣 https://t.co/tENg3ekIj5",Cinta NKRI🇮🇩,PadelMm
22,22,1664269879384633349,2023-06-01 13:57:14,"RT @Subur0204: Karena di SURVEY Anis selalu yg paling buncit tapi dia juga yang paling sering diserang, maka akan saya uji untuk membuat po…","Sukoharjo, Central Java",fauzanrz1
23,23,1664269713214689281,2023-06-01 13:56:34,"Momen Prabowo Subianto Geser Podium di Depan Para Ulama, Aksinya Langsung Disorot | https://t.co/HDi2LWh0lg -… https://t.co/Oo7PRi6Hle",Surabaya   ,andyyusuf22
24,24,1664269706356989952,2023-06-01 13:56:33,"Gibran Rakabuming Raka dan Relawan Bertemu Prabowo Subianto di Solo, Ada Apa? - Kompas TV #Prabowo #BangkitBersama https://t.co/BPpbrHjKnr",Surabaya   ,andyyusuf22
25,25,1664269005455261701,2023-06-01 13:53:46,@zezenjaelani @Gerindra Karena juara piala prabowo subianto,"Bekasi, Jawa Barat",Rizkyfadillah69
26,26,1664268452604047361,2023-06-01 13:51:34,RT @NegarakuApa: Niat Mulia Prabowo Subianto Buat Sepakbola &amp; Timnas Indonesia - https://t.co/8zyqGH3arA #SemuaDukungPrabowo #IkutPakde htt…,,UnameOne
27,27,1664268092476882944,2023-06-01 13:50:08,"@MichelAdam7__ Sebenarnya hsl Pilpres 2019 Prabowo subianto yg mnjd  Presiden RI ke 7,... tapi karna ..... .... ...… https://t.co/RF4YfBj13p",,2001Tgk
