,id,date,text,place,screen_name
0,1661749183072866309,2023-05-25 15:00:53,"RT @PutraErlangga95: Prediksi saya dari tiga Kandidat capres ini hanya dua yang akan bersaing
Yang Satu ngak bakal dilirik rakyat
Pilihan a…",,stn_duddy
1,1661749088776515588,2023-05-25 15:00:31,"RT @PutraErlangga95: Prediksi saya dari tiga Kandidat capres ini hanya dua yang akan bersaing
Yang Satu ngak bakal dilirik rakyat
Pilihan a…",,Joena12271
2,1661749060272021512,2023-05-25 15:00:24,"RT @PutraErlangga95: Prediksi saya dari tiga Kandidat capres ini hanya dua yang akan bersaing
Yang Satu ngak bakal dilirik rakyat
Pilihan a…",,Mangakung4
3,1661749000985526279,2023-05-25 15:00:10,"RT @PutraErlangga95: Prediksi saya dari tiga Kandidat capres ini hanya dua yang akan bersaing
Yang Satu ngak bakal dilirik rakyat
Pilihan a…",भारत,adzkia_bilqis
4,1661748776300851200,2023-05-25 14:59:16,RT @NegarakuApa: Menteri Pertahanan Prabowo Subianto Ungkap Alasan Mau ... - https://t.co/CXWkxh6xvi #SemuaDukungPrabowo #IkutPakde https:/…,,UnameOne
5,1661748631454752770,2023-05-25 14:58:42,"RT @tifsembiring: Hasil akhir polling twitter:

1. Ganjar Pranowo 9%
2. Prabowo Subianto 8%
3. Anies Baswedan 82%
4. Airlangga Hartarto 1%…",,maydivaca
6,1661748604405702661,2023-05-25 14:58:35,"RT @tifsembiring: Hasil akhir polling twitter:

1. Ganjar Pranowo 9%
2. Prabowo Subianto 8%
3. Anies Baswedan 82%
4. Airlangga Hartarto 1%…",,AisahShifa
7,1661748520708378673,2023-05-25 14:58:15,"RT @PutraErlangga95: Prediksi saya dari tiga Kandidat capres ini hanya dua yang akan bersaing
Yang Satu ngak bakal dilirik rakyat
Pilihan a…",,AisahShifa
8,1661748467990155266,2023-05-25 14:58:03,Menteri Pertahanan Prabowo Subianto Ungkap Alasan Mau ... - https://t.co/CXWkxh6xvi #SemuaDukungPrabowo #IkutPakde https://t.co/t7wy9wemcv,jakarta,NegarakuApa
9,1661748369470136321,2023-05-25 14:57:39,"RT @PutraErlangga95: Prediksi saya dari tiga Kandidat capres ini hanya dua yang akan bersaing
Yang Satu ngak bakal dilirik rakyat
Pilihan a…",,vr4rid
10,1661748327183171584,2023-05-25 14:57:29,"RT @Kemhan_RI: Menteri Pertahanan RI Prabowo Subianto @prabowo menegaskan, Ibu Kota Nusantara di Kalimantan memiliki nilai strategis atau s…",INFJ-T,AleeBaagil
11,1661748275748421632,2023-05-25 14:57:17,"RT @KakekHalal: KITA HANYA PUNYA GANJAR…

Coba kita teliti lagi Capres 2024 hasil survey…

Ada 3 calon mulai Ganjar Pranowo, Prabowo Subian…",,Jpram94814582
12,1661748032164220931,2023-05-25 14:56:19,"RT @PutraErlangga95: Prediksi saya dari tiga Kandidat capres ini hanya dua yang akan bersaing
Yang Satu ngak bakal dilirik rakyat
Pilihan a…","DKI Jakarta, Indonesia",KartikoVianto
13,1661748008248303622,2023-05-25 14:56:13,"RT @tifsembiring: Hasil akhir polling twitter:

1. Ganjar Pranowo 9%
2. Prabowo Subianto 8%
3. Anies Baswedan 82%
4. Airlangga Hartarto 1%…", Indonesia,ms_aljugjani26
