,id,date,place,screen_name,text,cleansing,case fold,stopwords,stemming,detokens,label
0,1661196268318920705,2023-05-24 02:23:48,Indonesia,IDSahabatGanjar,"Untuk memperkuat pondasi kemenangan untuk Ganjar Pranowo 2024, Sahabat Ganjar Depok berkunjung ke BMI Kota Depok.â¦ https://t.co/4nBQjsNGl9",Untuk memperkuat pondasi kemenangan untuk Ganjar Pranowo Sahabat Ganjar Depok berkunjung Kota Depok,untuk memperkuat pondasi kemenangan untuk ganjar pranowo sahabat ganjar depok berkunjung kota depok,"['memperkuat', 'pondasi', 'kemenangan', 'sahabat', 'depok', 'berkunjung', 'kota', 'depok']","['kuat', 'pondasi', 'menang', 'sahabat', 'depok', 'kunjung', 'kota', 'depok']",kuat pondasi menang sahabat depok kunjung kota depok,positif
1,1661196173997395969,2023-05-24 02:23:26,"DKI Jakarta, Indonesia",DiniHdianti,"RT @LaingenLisa: ""Semoga Ganjar Pranowo bisa melanjutkan kepemimpinan Nasional dari pak Presiden Joko Widodo,""...ðð®ð©
Ganjar Pranowo 
https:â¦",Semoga Ganjar Pranowo bisa melanjutkan kepemimpinan Nasional dari Presiden Joko Widodo Ganjar Pranowo,semoga ganjar pranowo bisa melanjutkan kepemimpinan nasional dari presiden joko widodo ganjar pranowo,"['semoga', 'melanjutkan', 'kepemimpinan', 'nasional', 'presiden', 'joko', 'widodo']","['moga', 'lanjut', 'pimpin', 'nasional', 'presiden', 'joko', 'widodo']",moga lanjut pimpin nasional presiden joko widodo,negatif
2,1661196167450099714,2023-05-24 02:23:24,Jakarta,ShintaSusan2,"RT @ShintaSusan2: Belajar Reformasi Birokrasi bersama Ganjar Pranowo #2024menangtotal 

Becca OH MY OH MY GOD Hasto SMTOWN Abel Cristiano Râ¦",Belajar Reformasi Birokrasi bersama Ganjar Pranowo menangtotal Becca Hasto SMTOWN Abel Cristiano ,belajar reformasi birokrasi bersama ganjar pranowo menangtotal becca hasto smtown abel cristiano ,"['belajar', 'reformasi', 'birokrasi', 'menangtotal', 'becca', 'hasto', 'smtown', 'abel', 'cristiano']","['ajar', 'reformasi', 'birokrasi', 'menangtotal', 'becca', 'hasto', 'smtown', 'abel', 'cristiano']",ajar reformasi birokrasi menangtotal becca hasto smtown abel cristiano,negatif
3,1661196146767962116,2023-05-24 02:23:19,,sahabatganjar,"Untuk memperkuat pondasi kemenangan untuk Ganjar Pranowo 2024, Sahabat Ganjar Depok berkunjung ke BMI Kota Depok.â¦ https://t.co/ZLb0Z0yLTN",Untuk memperkuat pondasi kemenangan untuk Ganjar Pranowo Sahabat Ganjar Depok berkunjung Kota Depok,untuk memperkuat pondasi kemenangan untuk ganjar pranowo sahabat ganjar depok berkunjung kota depok,"['memperkuat', 'pondasi', 'kemenangan', 'sahabat', 'depok', 'berkunjung', 'kota', 'depok']","['kuat', 'pondasi', 'menang', 'sahabat', 'depok', 'kunjung', 'kota', 'depok']",kuat pondasi menang sahabat depok kunjung kota depok,positif
4,1661196142363938817,2023-05-24 02:23:18,Jakarta,ShintaSusan2,"Belajar Reformasi Birokrasi bersama Ganjar Pranowo #2024menangtotal 

Becca OH MY OH MY GOD Hasto SMTOWN Abel Cristâ¦ https://t.co/vjPzkuCiVJ",Belajar Reformasi Birokrasi bersama Ganjar Pranowo menangtotal Becca Hasto SMTOWN Abel Crist,belajar reformasi birokrasi bersama ganjar pranowo menangtotal becca hasto smtown abel crist,"['belajar', 'reformasi', 'birokrasi', 'menangtotal', 'becca', 'hasto', 'smtown', 'abel', 'crist']","['ajar', 'reformasi', 'birokrasi', 'menangtotal', 'becca', 'hasto', 'smtown', 'abel', 'crist']",ajar reformasi birokrasi menangtotal becca hasto smtown abel crist,negatif
5,1661195985501175810,2023-05-24 02:22:41,SBY barat benowo 04 / 02 / 13,JoePhiyo,"RT @tempodotco: Kurang Bukti, Relawan Ganjar Pranowo Gagal Polisikan Anies Baswedan soal Pembangunan Jalan Era Jokowi #TempoNasional https:â¦",Kurang Bukti Relawan Ganjar Pranowo Gagal Polisikan Anies Baswedan soal Pembangunan Jalan Jokowi TempoNasional,kurang bukti relawan ganjar pranowo gagal polisikan anies baswedan soal pembangunan jalan jokowi temponasional,"['bukti', 'relawan', 'gagal', 'polisikan', 'pembangunan', 'jalan', 'jokowi', 'temponasional']","['bukti', 'rawan', 'gagal', 'polisi', 'bangun', 'jalan', 'jokowi', 'temponasional']",bukti rawan gagal polisi bangun jalan jokowi temponasional,negatif
6,1661195963606913025,2023-05-24 02:22:35, TNBD Sumatra Indoneaia,polt4kj4b4l23_,RT @sahabatganjar: Gubernur Jawa Tengah (Jateng) Ganjar Pranowo mengunggah momen makan malam bersama dengan Wali Kota Surakarta Gibran Rakaâ¦,Gubernur Jawa Tengah Jateng Ganjar Pranowo mengunggah momen makan malam bersama dengan Wali Kota Surakarta Gibran Raka,gubernur jawa tengah jateng ganjar pranowo mengunggah momen makan malam bersama dengan wali kota surakarta gibran raka,"['gubernur', 'jawa', 'jateng', 'mengunggah', 'momen', 'makan', 'malam', 'wali', 'kota', 'surakarta', 'gibran', 'raka']","['gubernur', 'jawa', 'jateng', 'unggah', 'momen', 'makan', 'malam', 'wali', 'kota', 'surakarta', 'gibran', 'raka']",gubernur jawa jateng unggah momen makan malam wali kota surakarta gibran raka,negatif
7,1661195943897886721,2023-05-24 02:22:31,"Jakarta Barat, DKI Jakarta",Ahmed99432468,"RT @NenkMonica: Menurut anda siapa yg sesungguhnya mempunyai elektabilitas yg tinggi sbg Capres dari PDIP  ? 
PUAN MAHARANI ð Retweet
GANJAâ¦",Menurut anda siapa sesungguhnya mempunyai elektabilitas tinggi Capres dari PDIP PUAN MAHARANI Retweet GANJA,menurut anda siapa sesungguhnya mempunyai elektabilitas tinggi capres dari pdip puan maharani retweet ganja,"['sesungguhnya', 'elektabilitas', 'capres', 'pdip', 'puan', 'maharani', 'retweet', 'ganja']","['sungguh', 'elektabilitas', 'capres', 'pdip', 'puan', 'maharani', 'retweet', 'ganja']",sungguh elektabilitas capres pdip puan maharani retweet ganja,positif
8,1661195925774274560,2023-05-24 02:22:26,,BiBoDah1,"RT @Paltiwest: Prabowo Subianto: 24,5%
Ganjar Pranowo: 22,8%
Anies Baswedan: 13,6%

Survei periodik Litbang Kompas melalui wawancara tatapâ¦",Prabowo Subianto Ganjar Pranowo Anies Baswedan Survei periodik Litbang Kompas melalui wawancara tatap,prabowo subianto ganjar pranowo anies baswedan survei periodik litbang kompas melalui wawancara tatap,"['survei', 'periodik', 'litbang', 'kompas', 'wawancara', 'tatap']","['survei', 'periodik', 'litbang', 'kompas', 'wawancara', 'tatap']",survei periodik litbang kompas wawancara tatap,negatif
9,1661195875883053058,2023-05-24 02:22:14,"Jakarta Barat, DKI Jakarta",Last__Sword,"RT @Wadas_Melawan: GANJAR TIDAK DATANG SAAT DIPANGGIL KOMNAS HAM ATAS DUGAAN PELANGGARAN HAM DALAM KASUS WADAS

Indikasi pelanggaran Hak Asâ¦",GANJAR TIDAK DATANG SAAT DIPANGGIL KOMNAS ATAS DUGAAN PELANGGARAN DALAM KASUS WADAS Indikasi pelanggaran ,ganjar tidak datang saat dipanggil komnas atas dugaan pelanggaran dalam kasus wadas indikasi pelanggaran ,"['dipanggil', 'komnas', 'dugaan', 'pelanggaran', 'wadas', 'indikasi', 'pelanggaran']","['panggil', 'komnas', 'duga', 'langgar', 'wadas', 'indikasi', 'langgar']",panggil komnas duga langgar wadas indikasi langgar,negatif
